record_date,high_tem,low_tem,weather,power_consumption
2015/1/1,8,-4,晴,1135
2015/1/2,13,0,多云转晴,570
2015/1/3,16,3,多云,3418
2015/1/4,15,4,晴转阴,3968
2015/1/5,10,2,小雨转雨夹雪,3986
2015/1/6,7,-1,阴转多云,4082
2015/1/7,7,-2,晴,4172
2015/1/8,12,-1,晴,4022
2015/1/9,14,1,晴转多云,4025
2015/1/10,14,1,晴,4047
2015/1/11,10,1,多云,4135
2015/1/12,8,3,阴,4111
2015/1/13,8,4,小到中雨转多云,3926
2015/1/14,10,4,阴转多云,4244
2015/1/15,11,3,多云,4144
2015/1/16,7,-1,多云转晴,4269
2015/1/17,9,-1,多云,4262
2015/1/18,11,0,多云,2782
2015/1/19,10,2,多云转阴,3327
2015/1/20,11,4,多云,4002
2015/1/21,7,0,多云,3925
2015/1/22,11,-2,晴,3813
2015/1/23,15,2,多云转阴,4293
2015/1/24,11,7,阴转小雨,4205
2015/1/25,10,6,阴,4162
2015/1/26,6,2,阴,3917
2015/1/27,3,0,小雪,4007
2015/1/28,2,-1,大雪,4060
2015/1/29,3,-1,小雪转阴,4045
2015/1/30,4,-2,多云,4162
2015/1/31,5,-1,阴转雨夹雪,4056
2015/2/1,7,1,阴,3685
2015/2/2,7,2,阴转多云,3904
2015/2/3,7,2,阴转多云,4100
2015/2/4,7,-2,多云转晴,4048
2015/2/5,9,-2,晴转多云,3991
2015/2/6,12,-1,多云,4058
2015/2/7,6,0,多云转晴,3771
2015/2/8,6,-4,晴,3755
2015/2/9,15,0,晴,3742
2015/2/10,15,0,晴,3880
2015/2/11,15,0,晴,1838
2015/2/12,15,0,晴,2994
2015/2/13,19,3,晴转多云,3579
2015/2/14,15,10,阵雨,2771
2015/2/15,15,9,阴转多云,185
2015/2/16,14,3,多云转晴,97
2015/2/17,12,3,晴,75
2015/2/18,11,1,多云,63
2015/2/19,10,4,阴转小到中雨,52
2015/2/20,11,8,小雨转阴,48
2015/2/21,11,3,阴转多云,60
2015/2/22,10,4,小雨转阴,75
2015/2/23,12,4,阴,67
2015/2/24,10,6,小到中雨转小雨,103
2015/2/25,10,6,阴,99
2015/2/26,6,3,阴转小到中雨,378
2015/2/27,4,2,中雨,629
2015/2/28,9,1,阴转多云,672
2015/3/1,13,2,晴转多云,308
2015/3/2,12,6,小雨转多云,548
2015/3/3,6,1,多云,582
2015/3/4,5,1,阴转雨夹雪,520
2015/3/5,8,2,雨夹雪转阴,453
2015/3/6,12,3,多云,606
2015/3/7,10,5,阴转小雨,471
2015/3/8,9,4,阴转多云,132
2015/3/9,7,0,多云,624
2015/3/10,11,-1,多云,718
2015/3/11,16,2,晴,538
2015/3/12,19,6,晴转多云,624
2015/3/13,15,7,多云转小雨,559
2015/3/14,16,8,阴,621
2015/3/15,17,10,阴转多云,334
2015/3/16,16,11,阴转中雨,576
2015/3/17,14,12,大雨转小到中雨,522
2015/3/18,15,9,小雨转阴,576
2015/3/19,14,9,小雨,606
2015/3/20,20,9,阴转多云,664
2015/3/21,19,8,多云,609
2015/3/22,16,7,多云转阴,98
2015/3/23,15,6,多云,691
2015/3/24,17,7,多云,648
2015/3/25,15,6,多云转阴,599
2015/3/26,16,9,小雨转多云,592
2015/3/27,20,7,多云转晴,646
2015/3/28,23,10,多云,717
2015/3/29,20,14,阴转阵雨,315
2015/3/30,26,16,多云,587
2015/3/31,23,17,多云转阴,542
2015/4/1,25,14,阴转中雨,614
2015/4/2,19,11,阴,499
2015/4/3,14,10,雷阵雨,576
2015/4/4,13,10,小雨转小到中雨,504
2015/4/5,11,7,中雨,75
2015/4/6,7,4,小雨,569
2015/4/7,12,2,阴转多云,691
2015/4/8,15,3,多云,615
2015/4/9,17,6,晴转多云,536
2015/4/10,19,7,多云,366
2015/4/11,21,9,多云转雷阵雨,659
2015/4/12,13,7,多云转雷阵雨,583
2015/4/13,19,6,阴转晴,626
2015/4/14,23,10,晴,609
2015/4/15,21,13,阴转多云,629
2015/4/16,22,10,晴转多云,659
2015/4/17,26,15,阴,585
2015/4/18,24,16,阴转雷阵雨,481
2015/4/19,17,10,中雨转阵雨,99
2015/4/20,20,8,多云,626
2015/4/21,24,8,多云转晴,618
2015/4/22,26,12,多云,593
2015/4/23,27,13,多云,572
2015/4/24,27,13,多云转晴,590
2015/4/25,28,14,晴,575
2015/4/26,28,15,晴转多云,315
2015/4/27,29,18,阴转雷阵雨,453
2015/4/28,22,17,雷阵雨转多云,437
2015/4/29,25,14,多云,555
2015/4/30,27,14,晴转多云,475
2015/5/1,20,16,小到中雨转中到大雨,77
2015/5/2,25,15,阴转多云,79
2015/5/3,24,15,多云,520
2015/5/4,24,12,阴转多云,590
2015/5/5,23,15,阴,542
2015/5/6,27,16,多云,584
