,record_date,power_consumption
0,2015/1/1,2900575
1,2015/1/2,3158211
2,2015/1/3,3596487
3,2015/1/4,3939672
4,2015/1/5,4101790
5,2015/1/6,4149164
6,2015/1/7,4161928
7,2015/1/8,4182622
8,2015/1/9,4153509
9,2015/1/10,3913704
10,2015/1/11,3635468
11,2015/1/12,4011329
12,2015/1/13,3969860
13,2015/1/14,4225259
14,2015/1/15,4106437
15,2015/1/16,4074699
16,2015/1/17,4053950
17,2015/1/18,3827153
18,2015/1/19,4099085
19,2015/1/20,4166022
20,2015/1/21,4091559
21,2015/1/22,4197553
22,2015/1/23,4153027
23,2015/1/24,3841539
24,2015/1/25,3658452
25,2015/1/26,3969836
26,2015/1/27,4250943
27,2015/1/28,4146675
28,2015/1/29,4155199
29,2015/1/30,4015565
30,2015/1/31,3895604
31,2015/2/1,3678729
32,2015/2/2,3983918
33,2015/2/3,3962811
34,2015/2/4,3904604
35,2015/2/5,3812319
36,2015/2/6,3808081
37,2015/2/7,3503405
38,2015/2/8,3476838
39,2015/2/9,3562045
40,2015/2/10,3221193
41,2015/2/11,2909801
42,2015/2/12,2934951
43,2015/2/13,2847925
44,2015/2/14,2526925
45,2015/2/15,2311930
46,2015/2/16,2243961
47,2015/2/17,2121020
48,2015/2/18,1589939
49,2015/2/19,1924576
50,2015/2/20,1978058
51,2015/2/21,2012807
52,2015/2/22,2057151
53,2015/2/23,2129969
54,2015/2/24,2215586
55,2015/2/25,2345116
56,2015/2/26,2617715
57,2015/2/27,2906772
58,2015/2/28,1675678
59,2015/3/1,2900464
60,2015/3/2,3334082
61,2015/3/3,3492606
62,2015/3/4,3597890
63,2015/3/5,1798044
64,2015/3/6,1787992
65,2015/3/7,3559113
66,2015/3/8,2972454
67,2015/3/9,3772564
68,2015/3/10,3868938
69,2015/3/11,3881363
70,2015/3/12,3935078
71,2015/3/13,3845654
72,2015/3/14,3940997
73,2015/3/15,3710792
74,2015/3/16,3736062
75,2015/3/17,3862429
76,2015/3/18,3809448
77,2015/3/19,3294148
78,2015/3/20,2659507
79,2015/3/21,3097831
80,2015/3/22,3153864
81,2015/3/23,3793539
82,2015/3/24,3886598
83,2015/3/25,3946979
84,2015/3/26,3978091
85,2015/3/27,3505012
86,2015/3/28,3641733
87,2015/3/29,3489199
88,2015/3/30,3792338
89,2015/3/31,3799367
90,2015/4/1,3878931
91,2015/4/2,3895444
92,2015/4/3,3917458
93,2015/4/4,3701865
94,2015/4/5,3077103
95,2015/4/6,3396784
96,2015/4/7,3955773
97,2015/4/8,3933520
98,2015/4/9,3934117
99,2015/4/10,3841726
100,2015/4/11,3757337
101,2015/4/12,3471838
102,2015/4/13,3794991
103,2015/4/14,3886747
104,2015/4/15,3883621
105,2015/4/16,3858169
106,2015/4/17,3720202
107,2015/4/18,3618044
108,2015/4/19,3592847
109,2015/4/20,3694081
110,2015/4/21,3785960
111,2015/4/22,3822967
112,2015/4/23,3907020
113,2015/4/24,3854392
114,2015/4/25,3801188
115,2015/4/26,3606876
116,2015/4/27,3827721
117,2015/4/28,3921793
118,2015/4/29,3903749
119,2015/4/30,3807190
120,2015/5/1,2893128
121,2015/5/2,2988003
122,2015/5/3,3501631
123,2015/5/4,3785149
124,2015/5/5,3908821
125,2015/5/6,3920908
126,2015/5/7,3900211
127,2015/5/8,3893473
128,2015/5/9,3756578
129,2015/5/10,3488394
130,2015/5/11,3768083
131,2015/5/12,3833756
132,2015/5/13,3944756
133,2015/5/14,4113033
134,2015/5/15,3925658
135,2015/5/16,3753444
136,2015/5/17,3545599
137,2015/5/18,3747294
138,2015/5/19,3901643
139,2015/5/20,3878744
140,2015/5/21,3834144
141,2015/5/22,3873964
142,2015/5/23,3857605
143,2015/5/24,3658025
144,2015/5/25,3894369
145,2015/5/26,3932831
146,2015/5/27,3943848
147,2015/5/28,3980124
148,2015/5/29,3919808
149,2015/5/30,3660404
150,2015/5/31,3409681
151,2015/6/1,3678089
152,2015/6/2,3765956
153,2015/6/3,3715689
154,2015/6/4,3717902
155,2015/6/5,3712017
156,2015/6/6,3748581
157,2015/6/7,3505473
158,2015/6/8,3804096
159,2015/6/9,3931900
160,2015/6/10,4026655
161,2015/6/11,4029529
162,2015/6/12,4045499
163,2015/6/13,3981977
164,2015/6/14,3786307
165,2015/6/15,4025300
166,2015/6/16,3880740
167,2015/6/17,3732340
168,2015/6/18,3780395
169,2015/6/19,3900360
170,2015/6/20,3292730
171,2015/6/21,3416254
172,2015/6/22,3724890
173,2015/6/23,3752153
174,2015/6/24,3883363
175,2015/6/25,4029993
176,2015/6/26,3961676
177,2015/6/27,3732367
178,2015/6/28,3459483
179,2015/6/29,3775745
180,2015/6/30,3911804
181,2015/7/1,2692956
182,2015/7/2,3642866
183,2015/7/3,4044005
184,2015/7/4,3826577
185,2015/7/5,3552897
186,2015/7/6,3797621
187,2015/7/7,3198852
188,2015/7/8,3812753
189,2015/7/9,3959028
190,2015/7/10,4067013
191,2015/7/11,3851053
192,2015/7/12,3511131
193,2015/7/13,4034339
194,2015/7/14,3550189
195,2015/7/15,4018448
196,2015/7/16,4248386
197,2015/7/17,4095465
198,2015/7/18,3950332
199,2015/7/19,3765951
200,2015/7/20,4112606
201,2015/7/21,4276542
202,2015/7/22,4102868
203,2015/7/23,4145418
204,2015/7/24,4212612
205,2015/7/25,4039046
206,2015/7/26,3788798
207,2015/7/27,4257147
208,2015/7/28,4349349
209,2015/7/29,4326839
210,2015/7/30,4295408
211,2015/7/31,4225719
212,2015/8/1,3679973
213,2015/8/2,3513088
214,2015/8/3,4109362
215,2015/8/4,4249464
216,2015/8/5,4287459
217,2015/8/6,4402083
218,2015/8/7,4369295
219,2015/8/8,4161898
220,2015/8/9,3787603
221,2015/8/10,4041268
222,2015/8/11,3903333
223,2015/8/12,4085366
224,2015/8/13,4168955
225,2015/8/14,4214550
226,2015/8/15,4047430
227,2015/8/16,3817657
228,2015/8/17,4155488
229,2015/8/18,4015123
230,2015/8/19,3948699
231,2015/8/20,3869580
232,2015/8/21,3343687
233,2015/8/22,3858150
234,2015/8/23,3624080
235,2015/8/24,3761623
236,2015/8/25,3909831
237,2015/8/26,4011378
238,2015/8/27,4029224
239,2015/8/28,3487881
240,2015/8/29,3867982
241,2015/8/30,3811394
242,2015/8/31,4109812
243,2015/9/1,4066668
244,2015/9/2,3925296
245,2015/9/3,3177414
246,2015/9/4,3566662
247,2015/9/5,3757287
248,2015/9/6,3841049
249,2015/9/7,4018482
250,2015/9/8,3691852
251,2015/9/9,3918906
252,2015/9/10,3929441
253,2015/9/11,3927760
254,2015/9/12,3633339
255,2015/9/13,3447496
256,2015/9/14,3713833
257,2015/9/15,3832844
258,2015/9/16,3749554
259,2015/9/17,3946919
260,2015/9/18,3975839
261,2015/9/19,3820881
262,2015/9/20,3608073
263,2015/9/21,3957586
264,2015/9/22,4039707
265,2015/9/23,4017043
266,2015/9/24,4037352
267,2015/9/25,4040154
268,2015/9/26,3497499
269,2015/9/27,3356801
270,2015/9/28,3873351
271,2015/9/29,4000522
272,2015/9/30,4542677
273,2015/10/1,2841489
274,2015/10/2,2776441
275,2015/10/3,2754225
276,2015/10/4,3016213
277,2015/10/5,3443517
278,2015/10/6,3629157
279,2015/10/7,3669034
280,2015/10/8,4002839
281,2015/10/9,3773217
282,2015/10/10,3718483
283,2015/10/11,3236485
284,2015/10/12,3676439
285,2015/10/13,3708587
286,2015/10/14,3748435
287,2015/10/15,3538810
288,2015/10/16,3807975
289,2015/10/17,3802147
290,2015/10/18,3521948
291,2015/10/19,3719963
292,2015/10/20,3608500
293,2015/10/21,3926344
294,2015/10/22,3926220
295,2015/10/23,3914699
296,2015/10/24,3945502
297,2015/10/25,3512930
298,2015/10/26,3750753
299,2015/10/27,3929170
300,2015/10/28,3838921
301,2015/10/29,3915735
302,2015/10/30,3840502
303,2015/10/31,3232390
304,2015/11/1,3443912
305,2015/11/2,3599595
306,2015/11/3,3796895
307,2015/11/4,3903614
308,2015/11/5,3920772
309,2015/11/6,3910196
310,2015/11/7,3819933
311,2015/11/8,3500779
312,2015/11/9,3382794
313,2015/11/10,3347273
314,2015/11/11,3452265
315,2015/11/12,3407477
316,2015/11/13,3528801
317,2015/11/14,3377359
318,2015/11/15,3377554
319,2015/11/16,3697464
320,2015/11/17,3862200
321,2015/11/18,3854823
322,2015/11/19,3913774
323,2015/11/20,3903341
324,2015/11/21,3820628
325,2015/11/22,3198030
326,2015/11/23,3939268
327,2015/11/24,4025841
