,record_date,high_tem,low_tem,weather
0,2015/1/1,8,-4,晴
1,2015/1/2,13,0,多云转晴
2,2015/1/3,16,3,多云
3,2015/1/4,15,4,晴转阴
4,2015/1/5,10,2,小雨转雨夹雪
5,2015/1/6,7,-1,阴转多云
6,2015/1/7,7,-2,晴
7,2015/1/8,12,-1,晴
8,2015/1/9,14,1,晴转多云
9,2015/1/10,14,1,晴
10,2015/1/11,10,1,多云
11,2015/1/12,8,3,阴
12,2015/1/13,8,4,小到中雨转多云
13,2015/1/14,10,4,阴转多云
14,2015/1/15,11,3,多云
15,2015/1/16,7,-1,多云转晴
16,2015/1/17,9,-1,多云
17,2015/1/18,11,0,多云
18,2015/1/19,10,2,多云转阴
19,2015/1/20,11,4,多云
20,2015/1/21,7,0,多云
21,2015/1/22,11,-2,晴
22,2015/1/23,15,2,多云转阴
23,2015/1/24,11,7,阴转小雨
24,2015/1/25,10,6,阴
25,2015/1/26,6,2,阴
26,2015/1/27,3,0,小雪
27,2015/1/28,2,-1,大雪
28,2015/1/29,3,-1,小雪转阴
29,2015/1/30,4,-2,多云
30,2015/1/31,5,-1,阴转雨夹雪
31,2015/2/1,7,1,阴
32,2015/2/2,7,2,阴转多云
33,2015/2/3,7,2,阴转多云
34,2015/2/4,7,-2,多云转晴
35,2015/2/5,9,-2,晴转多云
36,2015/2/6,12,-1,多云
37,2015/2/7,6,0,多云转晴
38,2015/2/8,6,-4,晴
39,2015/2/9,15,0,晴
40,2015/2/10,15,0,晴
41,2015/2/11,15,0,晴
42,2015/2/12,15,0,晴
43,2015/2/13,19,3,晴转多云
44,2015/2/14,15,10,阵雨
45,2015/2/15,15,9,阴转多云
46,2015/2/16,14,3,多云转晴
47,2015/2/17,12,3,晴
48,2015/2/18,11,1,多云
49,2015/2/19,10,4,阴转小到中雨
50,2015/2/20,11,8,小雨转阴
51,2015/2/21,11,3,阴转多云
52,2015/2/22,10,4,小雨转阴
53,2015/2/23,12,4,阴
54,2015/2/24,10,6,小到中雨转小雨
55,2015/2/25,10,6,阴
56,2015/2/26,6,3,阴转小到中雨
57,2015/2/27,4,2,中雨
58,2015/2/28,9,1,阴转多云
59,2015/3/1,13,2,晴转多云
60,2015/3/2,12,6,小雨转多云
61,2015/3/3,6,1,多云
62,2015/3/4,5,1,阴转雨夹雪
63,2015/3/5,8,2,雨夹雪转阴
64,2015/3/6,12,3,多云
65,2015/3/7,10,5,阴转小雨
66,2015/3/8,9,4,阴转多云
67,2015/3/9,7,0,多云
68,2015/3/10,11,-1,多云
69,2015/3/11,16,2,晴
70,2015/3/12,19,6,晴转多云
71,2015/3/13,15,7,多云转小雨
72,2015/3/14,16,8,阴
73,2015/3/15,17,10,阴转多云
74,2015/3/16,16,11,阴转中雨
75,2015/3/17,14,12,大雨转小到中雨
76,2015/3/18,15,9,小雨转阴
77,2015/3/19,14,9,小雨
